TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
4030.83186,256,1,253.1699,13.1938,28.928,0.113,28.6081987,1.4908994,2.760283058,7.696398633,0.010790705,-8.389440843,5.124248824,4.596103666,0.528145158,0,0,0,0,0
4064.51552,256,1,251.0677,12.6205,28.928,0.113,28.3706501,1.4261165,2.760283058,7.66812988,0.010790705,-8.390877819,5.124248824,4.583385424,0.5408634,0,0,0,0,0
4080.374,256,1,251.3561,6.5601,28.928,0.113,28.4032393,0.7412913,2.760283058,7.662429071,0.010790705,-8.452483786,5.124248824,4.536021128,0.588227696,0,0,0,0,0
4130.82894,256,1,250.3315,7.4437,28.928,0.113,28.2874595,0.8411381,2.760283058,7.642315566,0.010790705,-8.452151881,5.124248824,4.537837472,0.586411352,0,0,0,0,0
4163.87685,256,1,252.1979,11.5138,28.928,0.113,28.4983627,1.3010594,2.760283058,7.652070941,0.010790705,-8.418561467,5.124248824,4.58106168,0.543187144,0,0,0,0,0
4197.81723,256,1,250.7206,9.8232,28.928,0.113,28.3314278,1.1100216,2.760283058,7.633601719,0.010790705,-8.435429718,5.124248824,4.560168908,0.564079916,0,0,0,0,0
4230.56575,256,1,250.9739,9.2494,28.928,0.113,28.3600507,1.0451822,2.760283058,7.632910339,0.010790705,-8.434576399,5.124248824,4.558000323,0.566248501,0,0,0,0,0
4264.09012,256,1,248.6842,14.196,28.928,0.113,28.1013146,1.604148,2.760283058,7.612170268,0.010790705,-8.382012339,5.124248824,4.587639705,0.536609119,0,0,0,0,0
4297.1238,256,1,250.3171,17.2967,28.928,0.113,28.2858323,1.9545271,2.760283058,7.628401636,0.010790705,-8.348308511,5.124248824,4.622688149,0.501560675,0,0,0,0,0
4330.61475,256,1,248.0438,22.5764,28.928,0.113,28.0289494,2.5511332,2.760283058,7.606678256,0.010790705,-8.291124502,5.124248824,4.655879175,0.468369649,0,0,0,0,0
4363.94498,256,1,247.4145,21.9184,28.928,0.113,27.9578385,2.4767792,2.760283058,7.612347925,0.010790705,-8.296251663,5.124248824,4.644715202,0.479533622,0,0,0,0,0
4396.99928,256,1,253.4045,-1.3434,28.928,0.113,28.6347085,-0.1518042,2.760283058,7.67429981,0.010790705,-8.52288918,5.124248824,4.487174576,0.637074248,0,0,0,0,0
4430.57628,256,1,255.6091,-1.4569,28.928,0.113,28.8838283,-0.1646297,2.760283058,7.695927408,0.010790705,-8.518797385,5.124248824,4.499042,0.625206824,0,0,0,0,0
4463.95344,256,1,256.1047,-2.3602,28.928,0.113,28.9398311,-0.2667026,2.760283058,7.703372688,0.010790705,-8.52847285,5.124248824,4.495052822,0.629196002,0,0,0,0,0
4497.81275,256,1,256.5818,0.2757,28.928,0.113,28.9937434,0.0311541,2.760283058,7.705084727,0.010790705,-8.501858137,5.124248824,4.517912254,0.60633657,0,0,0,0,0
